,0,1,2,3
499,0.0,0.11,2.0,0.45
500,3.0,0.27,23.0,1.07
501,3.0,0.27,23.0,1.07
502,1.0,0.99,332.0,3.04
503,0.0,0.11,2.0,0.45
504,0.0,0.12,6.0,1.55
505,2.0,0.435,56.0,2.58
506,4.0,0.21,58.0,0.77
507,0.0,0.498,47.0,2.64
508,0.0,0.498,47.0,2.64
509,1.0,2.887,135.0,13.28
510,1.0,3.259,364.0,6.82
511,3.0,0.343,18.0,0.0
512,0.0,0.498,47.0,2.64
513,0.0,0.915,187.0,5.75
514,0.0,0.498,47.0,2.64
515,0.0,0.17,13.0,1.64
516,0.0,0.262,16.0,0.0
517,0.0,0.602,88.0,3.13
518,2.0,0.416,88.0,2.87
519,0.0,0.602,88.0,3.13
520,0.0,0.153,10.0,0.0
521,0.0,0.153,10.0,0.0
522,0.0,0.314,86.0,3.4
523,3.0,0.199,5.0,2.09
524,0.0,0.268,12.0,2.19
525,0.0,0.11,2.0,0.45
526,0.0,0.11,2.0,0.45
527,0.0,0.602,88.0,3.13
528,0.0,0.11,2.0,0.45
529,2.0,0.59,69.0,3.54
530,0.0,0.153,10.0,0.0
531,0.0,0.11,2.0,0.45
532,0.0,0.602,88.0,3.13
533,4.0,0.21,58.0,0.77
534,4.0,0.21,58.0,0.77
535,1.0,0.99,332.0,3.04
536,0.0,0.11,2.0,0.45
537,0.0,0.3,17.0,0.0
538,0.0,0.11,2.0,0.45
539,0.0,0.11,2.0,0.45
540,0.0,0.216,47.0,1.23
541,2.0,0.349,92.0,2.85
542,0.0,0.11,2.0,0.45
543,1.0,1.915,104.0,3.64
544,0.0,0.342,5.0,4.4
545,0.0,0.326,189.0,4.4
546,0.0,0.11,2.0,0.45
547,0.0,0.602,88.0,3.13
548,0.0,0.11,2.0,0.45
549,0.0,0.11,2.0,0.45
550,0.0,0.11,2.0,0.45
551,0.0,0.314,86.0,3.4
552,0.0,0.153,8.0,0.0
553,0.0,0.326,189.0,4.4
554,1.0,1.148,200.0,5.2
555,0.0,0.229,15.0,1.63
556,0.0,0.11,2.0,0.45
557,1.0,0.679,101.0,3.47
558,0.0,0.129,3.0,0.0
559,0.0,0.602,88.0,3.13
560,2.0,0.777,73.0,3.18
561,3.0,0.304,58.0,0.68
562,0.0,0.197,2.0,0.81
563,0.0,0.134,3.0,0.0
564,0.0,0.3,17.0,0.0
565,0.0,0.314,86.0,3.4
566,0.0,0.314,86.0,3.4
567,0.0,0.11,2.0,0.45
568,2.0,0.379,27.0,4.42
569,0.0,0.254,83.0,1.31
570,1.0,0.692,112.0,3.38
571,0.0,0.196,6.0,0.0
572,0.0,0.314,86.0,3.4
573,0.0,0.314,86.0,3.4
574,0.0,0.227,63.0,0.84
575,0.0,0.11,2.0,0.45
576,3.0,0.247,46.0,1.82
577,0.0,0.11,2.0,0.45
578,3.0,0.247,46.0,1.82
579,0.0,0.139,11.0,1.18
580,0.0,0.11,2.0,0.45
