,journalName
1983066,Int. J. Hum. Comput. Stud.
2052428,Proceedings of the 2012 ACM Conference on Ubiquitous Computing
538221,CHI '11 Extended Abstracts on Human Factors in Computing Systems
100968,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
164026,Proceedings of the 21st ACM international conference on Information and knowledge management
2031807,Proceedings of the 2018 Designing Interactive Systems Conference
690651,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1698212,Proceedings of the 2016 ACM Conference on Designing Interactive Systems
1934714,Proceedings of the 29th Australian Conference on Computer-Human Interaction
2605389,ACM Trans. Comput. Hum. Interact.
32971,Proceedings of the 26th annual ACM symposium on User interface software and technology
81625,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2669094,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1632695,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2588875,2014 IEEE International Conference on Robotics and Automation (ICRA)
654437,Proceedings of the National Academy of Sciences
1638605,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems
2287459,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
1016021,Adjunct Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology
365728,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1985436,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
190646,Proceedings of the 24th annual ACM symposium on User interface software and technology
1358808,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
1245399,Proceedings of the 2019 ACM International Conference on Interactive Experiences for TV and Online Video
1651969,Proceedings of the 19th International Conference on Human-Computer Interaction with Mobile Devices and Services
259742,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
1793100,Personal and Ubiquitous Computing
195242,Proceedings of the ACM International Conference on Interactive Experiences for TV and Online Video
1638616,2015 Joint IEEE International Conference on Development and Learning and Epigenetic Robotics (ICDL-EpiRob)
2382189,Topics in cognitive science
1072594,Journal of Human-Robot Interaction
622814,Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers
2565381,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers
2153222,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing
2664531,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers
1271224,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1321520,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct
2099326,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing
1736926,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
558424,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
234378,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
859087,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
1583811,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1533479,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
1870472,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2239851,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems
440871,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
1475339,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
677667,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing
695499,Proceedings of the 2014 conference on Designing interactive systems
734470,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1801001,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems
537349,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
2425054,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
2075156,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2302674,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
730628,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
852195,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2621668,CHI '12 Extended Abstracts on Human Factors in Computing Systems
2654438,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
1966311,Proceedings of the 2018 Designing Interactive Systems Conference
1061029,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems
1100865,Human–Computer Interaction
831436,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
2327097,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing
2413690,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems
1991989,Proceedings of the 2016 ACM Conference on Designing Interactive Systems
183056,Proceedings of the 26th Australian Computer-Human Interaction Conference on Designing Futures: the Future of Design
229612,2012 Fourth International Conference on Communication Systems and Networks (COMSNETS 2012)
1114349,Proceedings of the 19th International Conference on Human-Computer Interaction with Mobile Devices and Services
264796,Information Technology for Development
1534604,Interactions
2539744,Personal and Ubiquitous Computing
1579224,Proceedings of the 14th International Conference on Mobile and Ubiquitous Multimedia
470130,Proceedings of the Eighth International Conference on Information and Communication Technologies and Development
2413482,Proceedings of the 28th Annual ACM Symposium on User Interface Software & Technology
2556140,IEEE Access
1671408,Proceedings of the 16th International Conference on Mobile and Ubiquitous Multimedia
909978,2015 International Conference on Affective Computing and Intelligent Interaction (ACII)
1789790,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems
404043,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems
450974,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
393462,Proceedings of the 2013 ACM conference on Pervasive and ubiquitous computing adjunct publication
2518846,2012 16th International Symposium on Wearable Computers
1147133,2016 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
18652,2015 European Conference on Mobile Robots (ECMR)
2326782,Journal of Human-Robot Interaction
1176956,2012 7th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
1165152,2011 6th ACM/IEEE International Conference on Human-Robot Interaction (HRI)
2031870,Proceedings of the ACM 2012 conference on Computer Supported Cooperative Work
491773,ACM Trans. Intell. Syst. Technol.
1212673,Interact. Comput.
2359549,Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management
557319,2012 IEEE RO-MAN: The 21st IEEE International Symposium on Robot and Human Interactive Communication
1156277,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
2490634,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems
65804,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems
1868875,ACM SIGGRAPH 2015 Posters
2600201,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems
1704206,Proceedings of the National Academy of Sciences
2654478,CHI '12 Extended Abstracts on Human Factors in Computing Systems
295184,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
1614894,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining
2594241,CHI '12 Extended Abstracts on Human Factors in Computing Systems
2621715,2013 IEEE International Conference on Body Sensor Networks
2261410,2011 Annual International Conference of the IEEE Engineering in Medicine and Biology Society
950548,Scientific Reports
1900821,Proceedings of the 2018 ACM Conference on Supporting Groupwork
654574,Companion of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing
1117514,CHI '13 Extended Abstracts on Human Factors in Computing Systems
